epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7240.03,0.59903,0.39702,0.99474,0.98848,0.9916,0.99294,0.85976,0.53514,0.2533,0.96828,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,7439.29,0.60182,0.39504,0.99658,0.98908,0.99031,0.99249,0.85964,0.52907,0.25428,0.96461,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,7613.52,0.60295,0.39825,0.99762,0.99148,0.99249,0.99314,0.86044,0.53218,0.24963,0.96599,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,7793.6,0.60004,0.39517,0.99391,0.99039,0.99204,0.99353,0.86107,0.53417,0.25289,0.96747,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,7971.89,0.59554,0.39234,0.99226,0.99166,0.99127,0.99325,0.86086,0.53301,0.25013,0.96694,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,8148.99,0.5987,0.39442,0.99561,0.9901,0.9925,0.99287,0.8618,0.53383,0.25062,0.96651,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,8331.07,0.59485,0.39257,0.99339,0.99203,0.99232,0.9936,0.8622,0.53405,0.25072,0.96881,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,8504.33,0.59894,0.39344,0.99755,0.98993,0.99235,0.99336,0.86156,0.52898,0.24781,0.96457,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,8671.71,0.59642,0.39209,0.99203,0.99016,0.99209,0.99283,0.86117,0.53402,0.24794,0.9661,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,8842.13,0.59623,0.39208,0.99348,0.99184,0.99136,0.9931,0.86025,0.53791,0.24841,0.96982,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,9010.58,0.5965,0.39207,0.99172,0.99074,0.99267,0.99324,0.86134,0.53366,0.24698,0.96663,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,9180.88,0.59613,0.38993,0.99427,0.99136,0.99304,0.99352,0.86402,0.52666,0.24391,0.95982,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,9354.55,0.59802,0.38816,0.99446,0.9899,0.99099,0.99253,0.8619,0.5318,0.24901,0.96616,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,9525.84,0.59651,0.3888,0.99196,0.9916,0.99247,0.99327,0.8603,0.53204,0.24577,0.9673,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,9693.63,0.59587,0.39,0.99435,0.99181,0.99264,0.99338,0.86046,0.53416,0.24413,0.96758,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,9867.25,0.59497,0.38881,0.99531,0.99074,0.99208,0.99292,0.86118,0.53352,0.24591,0.96691,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,10035.2,0.59476,0.38946,0.99077,0.99023,0.99155,0.99293,0.86166,0.5311,0.24602,0.96445,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,10211.7,0.59631,0.38924,0.99366,0.99078,0.991,0.99319,0.86185,0.52933,0.24644,0.9636,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,10381,0.59162,0.387,0.9916,0.99173,0.9939,0.99377,0.86308,0.53196,0.24283,0.96545,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,10559,0.59149,0.3845,0.99067,0.99078,0.99196,0.99342,0.86135,0.53319,0.24513,0.96956,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,10727.1,0.59811,0.39148,0.99501,0.99165,0.99356,0.99327,0.86196,0.53517,0.24212,0.96431,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,10900.1,0.59738,0.39026,0.99332,0.99146,0.99235,0.99324,0.86294,0.52637,0.24195,0.96554,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,11072.9,0.59543,0.38887,0.99455,0.9928,0.99369,0.99406,0.86404,0.52909,0.23934,0.96296,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,11248.7,0.59824,0.39104,0.99281,0.99228,0.99221,0.99341,0.86204,0.5313,0.2417,0.96534,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,11426.3,0.596,0.38859,0.99593,0.99088,0.9922,0.99309,0.85999,0.53513,0.24407,0.97042,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,11596,0.59608,0.38806,0.99324,0.99308,0.99288,0.99363,0.86307,0.52652,0.23728,0.96372,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,11765.3,0.59373,0.38896,0.99222,0.99358,0.99181,0.99333,0.86401,0.52521,0.23851,0.96223,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,11937.3,0.59274,0.38708,0.99357,0.99202,0.99254,0.99326,0.86243,0.5302,0.23811,0.96457,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,12109.9,0.59462,0.3868,0.99108,0.99235,0.99352,0.99336,0.86421,0.52629,0.24092,0.96078,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,12285.9,0.59287,0.38535,0.99158,0.99343,0.9945,0.99402,0.86343,0.52877,0.23726,0.96321,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,12461.2,0.5935,0.38546,0.9922,0.99279,0.99294,0.99342,0.86244,0.52575,0.23589,0.96293,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,12632.4,0.59284,0.38614,0.99009,0.99192,0.99243,0.99316,0.86366,0.52566,0.23761,0.963,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,12805.1,0.59061,0.38357,0.99045,0.99362,0.99301,0.99341,0.86386,0.5231,0.23511,0.96339,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,12976.6,0.58792,0.38329,0.99112,0.99304,0.99463,0.99354,0.86448,0.52494,0.23481,0.95991,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,13150.8,0.58975,0.38535,0.99101,0.99317,0.99386,0.99337,0.86643,0.52179,0.23203,0.95852,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,13321.3,0.59342,0.38241,0.99223,0.99307,0.99337,0.99353,0.86349,0.52647,0.23357,0.96192,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,13489,0.59374,0.38211,0.98992,0.99269,0.99352,0.99335,0.86497,0.52433,0.23234,0.95801,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,13694.7,0.58991,0.38046,0.99101,0.99265,0.99332,0.99327,0.86437,0.52343,0.23298,0.96225,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,13864.3,0.59044,0.38453,0.9899,0.99348,0.99341,0.99384,0.86401,0.52394,0.2321,0.96131,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,14044.1,0.59164,0.38072,0.99287,0.99194,0.99379,0.99353,0.86494,0.52762,0.23268,0.96179,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,14213.1,0.58756,0.3803,0.98834,0.99292,0.99397,0.99363,0.86466,0.52626,0.23214,0.96153,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,14390.1,0.58826,0.37936,0.99011,0.99354,0.9934,0.99382,0.86415,0.52375,0.23227,0.96334,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,14567.4,0.58745,0.37892,0.98808,0.9931,0.99379,0.99361,0.86532,0.52248,0.23207,0.95989,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,14742.5,0.59219,0.38078,0.99213,0.99299,0.99454,0.99344,0.86537,0.52431,0.23115,0.96078,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,14917.9,0.58832,0.37904,0.98949,0.99346,0.99332,0.99368,0.86375,0.52933,0.2322,0.96167,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,15090,0.59055,0.37983,0.99032,0.99323,0.99445,0.9936,0.86389,0.52439,0.22941,0.96075,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,15264.2,0.58647,0.37764,0.98739,0.99354,0.99487,0.99405,0.8666,0.5228,0.22981,0.95939,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,15441.4,0.59036,0.37921,0.99339,0.99365,0.99432,0.99392,0.86505,0.52606,0.23026,0.96252,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,15612,0.59052,0.37937,0.991,0.99277,0.99425,0.99383,0.86475,0.52702,0.2316,0.96324,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,15790.1,0.5859,0.37794,0.98909,0.99351,0.99409,0.99388,0.86481,0.52484,0.23048,0.96221,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,15961.2,0.58478,0.37722,0.98857,0.99367,0.99454,0.99388,0.8655,0.5243,0.2293,0.96056,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,16134.1,0.58548,0.37564,0.98939,0.9938,0.99475,0.99375,0.86505,0.52255,0.22897,0.95859,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,16306.4,0.58875,0.3768,0.98966,0.99308,0.99478,0.99386,0.86601,0.52185,0.22741,0.95623,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,16479.6,0.58592,0.37539,0.9877,0.99332,0.99482,0.99356,0.86594,0.52233,0.2277,0.95725,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,16652.4,0.58418,0.37545,0.98819,0.99235,0.99448,0.99346,0.86678,0.52096,0.22804,0.96048,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,16827,0.58568,0.37508,0.98701,0.99264,0.99489,0.99374,0.86724,0.51927,0.22607,0.95773,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,17006.2,0.58718,0.37474,0.98773,0.99333,0.99416,0.99314,0.86588,0.52031,0.22579,0.95888,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,17181.5,0.58257,0.37156,0.9866,0.99437,0.99514,0.99354,0.86522,0.52175,0.22386,0.9611,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,17358.4,0.58284,0.37574,0.98834,0.99404,0.9945,0.9938,0.86694,0.51947,0.22505,0.96024,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,17530.8,0.58093,0.3715,0.98718,0.99386,0.99432,0.99405,0.8674,0.51991,0.22508,0.96006,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,17708.3,0.58268,0.37098,0.98574,0.99363,0.99437,0.99389,0.86734,0.52052,0.2267,0.95969,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,17879.8,0.58339,0.37113,0.99027,0.99386,0.99371,0.99358,0.86654,0.52059,0.22657,0.96156,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,18054.9,0.58485,0.37386,0.9877,0.99377,0.99469,0.99385,0.86739,0.51978,0.2242,0.95922,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,18225.8,0.57925,0.36971,0.98667,0.99335,0.99473,0.99384,0.8663,0.51931,0.22562,0.95984,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,18395.7,0.58052,0.37142,0.98643,0.99382,0.99416,0.99404,0.86552,0.5221,0.2262,0.95871,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,18579.1,0.58004,0.3707,0.9853,0.99309,0.99374,0.99361,0.86709,0.521,0.22489,0.9604,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
