epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2802.83,0.65809,0.51233,1.03106,0.98441,0.98672,0.99219,0.85687,0.53126,0.30048,0.97774,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2893.13,0.65724,0.5045,1.03055,0.98846,0.9859,0.99282,0.85751,0.52755,0.29456,0.97668,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2983.46,0.65736,0.50196,1.03134,0.98371,0.98753,0.99228,0.85813,0.52641,0.29408,0.9727,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3074.55,0.65489,0.49712,1.02815,0.98282,0.98623,0.99245,0.85806,0.52419,0.29321,0.97295,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3161.12,0.64735,0.48888,1.02384,0.98807,0.98761,0.99281,0.8624,0.52041,0.28264,0.97011,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3248.46,0.65159,0.48773,1.02975,0.98597,0.98614,0.99206,0.86122,0.52349,0.28921,0.97016,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3339.5,0.64767,0.481,1.02534,0.98859,0.98881,0.99238,0.86305,0.5204,0.27726,0.96552,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3431.87,0.64818,0.47896,1.02859,0.9873,0.9872,0.99247,0.86113,0.5217,0.28248,0.96887,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3518.14,0.64537,0.47661,1.02344,0.9882,0.98888,0.99276,0.8613,0.51973,0.27409,0.96784,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3609.98,0.64516,0.47295,1.02669,0.98509,0.98703,0.99267,0.86026,0.52397,0.28266,0.97627,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3695.68,0.64325,0.46747,1.02459,0.98606,0.98919,0.99238,0.86225,0.51899,0.27335,0.9705,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3786.55,0.64144,0.46558,1.02398,0.98827,0.98939,0.99292,0.86325,0.52008,0.26982,0.9675,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3872.46,0.64365,0.46171,1.02298,0.98161,0.98547,0.99232,0.86055,0.52044,0.2807,0.96869,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3962.76,0.63887,0.46043,1.02073,0.98902,0.98832,0.99299,0.86191,0.52027,0.27,0.97068,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4053.39,0.63876,0.4591,1.02407,0.98986,0.98996,0.99276,0.86479,0.51851,0.26359,0.96787,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4144,0.63686,0.45359,1.02366,0.98348,0.99028,0.99258,0.86279,0.52006,0.26878,0.96782,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4230.52,0.63864,0.45322,1.01953,0.98479,0.99088,0.99256,0.86343,0.51738,0.26753,0.96759,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4320.36,0.63751,0.45135,1.02278,0.98993,0.99129,0.99281,0.864,0.52032,0.26351,0.97164,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4411.12,0.63557,0.45074,1.02042,0.99003,0.99123,0.99305,0.86436,0.51656,0.25867,0.96509,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,4503.02,0.62762,0.44028,1.01603,0.98878,0.98933,0.9928,0.86109,0.52271,0.26622,0.96961,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4589.72,0.6316,0.44387,1.01701,0.9893,0.99,0.99285,0.86475,0.51302,0.25766,0.96302,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,4678.77,0.63252,0.44118,1.0166,0.98892,0.98911,0.99297,0.8645,0.51675,0.26059,0.96741,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4767.25,0.62728,0.4402,1.01757,0.98946,0.99025,0.99306,0.86439,0.51513,0.25785,0.96543,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,4856.35,0.63218,0.43906,1.01748,0.98968,0.99195,0.993,0.8643,0.51407,0.25534,0.96671,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,4943.83,0.62675,0.43533,1.01897,0.98905,0.9909,0.99246,0.86527,0.51337,0.25366,0.96629,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,5030.64,0.62796,0.43204,1.01803,0.98851,0.99166,0.99259,0.86475,0.5144,0.25198,0.96771,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,5120.25,0.62525,0.43471,1.01627,0.99095,0.99109,0.99304,0.86589,0.51276,0.25145,0.96677,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,91.9634,0.62082,0.4257,1.01597,0.9911,0.99256,0.99314,0.86949,0.50993,0.2474,0.96232,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,176.808,0.6266,0.42846,1.01632,0.99041,0.99018,0.99283,0.86548,0.51414,0.25072,0.96431,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,262.139,0.625,0.42811,1.02185,0.99071,0.99153,0.99298,0.86679,0.5135,0.24849,0.96591,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,339.726,0.62089,0.42602,1.01864,0.98983,0.99257,0.99301,0.86638,0.51271,0.24808,0.96791,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,422.644,0.62466,0.4223,1.01556,0.99084,0.9917,0.99259,0.86587,0.51126,0.24585,0.96706,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,507.266,0.62344,0.42242,1.0178,0.99107,0.99212,0.9932,0.8667,0.51047,0.24588,0.96316,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,592.632,0.62161,0.42214,1.01528,0.99165,0.99262,0.9932,0.86857,0.50955,0.24382,0.96342,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,677.752,0.61786,0.4165,1.01587,0.9893,0.99166,0.99325,0.86649,0.51314,0.24658,0.96648,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,764.217,0.62153,0.42054,1.01512,0.9915,0.99284,0.99334,0.86676,0.51132,0.24392,0.96761,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,857.678,0.61531,0.41501,1.01319,0.99078,0.99192,0.99301,0.86659,0.51184,0.24355,0.96597,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,949.718,0.61328,0.41367,1.01296,0.99177,0.99254,0.99292,0.86762,0.51048,0.23987,0.96509,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,1035.13,0.61122,0.41097,1.00862,0.99215,0.99285,0.99325,0.86753,0.5092,0.23888,0.96368,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,1124.65,0.61852,0.41356,1.01602,0.99169,0.99231,0.99316,0.86614,0.51387,0.24106,0.96619,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,1211.94,0.61315,0.40985,1.01235,0.99144,0.99282,0.99333,0.86628,0.5115,0.238,0.96666,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,1303.07,0.61188,0.41068,1.00834,0.99015,0.99306,0.99315,0.86915,0.50782,0.23829,0.96314,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,1388.69,0.6109,0.40632,1.01067,0.99234,0.99327,0.99328,0.8677,0.51087,0.23683,0.9634,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,1475.3,0.61067,0.40463,1.01257,0.9921,0.99322,0.99371,0.86809,0.50956,0.23677,0.9658,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,1563.99,0.60656,0.40437,1.00631,0.99195,0.99355,0.99296,0.86697,0.51001,0.23672,0.96628,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,1656.14,0.60815,0.40226,1.00861,0.99192,0.99292,0.99339,0.86834,0.50846,0.23716,0.965,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,1743.04,0.60298,0.40172,1.00574,0.99244,0.99316,0.99324,0.86967,0.50728,0.23417,0.96296,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,1831.8,0.60697,0.40184,1.0089,0.99259,0.99315,0.99311,0.86757,0.50777,0.23359,0.96665,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,1921.99,0.60596,0.39935,1.00931,0.99243,0.99281,0.99321,0.86819,0.50806,0.23532,0.96734,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,2011.34,0.60585,0.39924,1.00384,0.99214,0.99264,0.99328,0.86829,0.50823,0.23555,0.96573,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,2099.09,0.60276,0.39803,1.00639,0.99336,0.9933,0.99326,0.86884,0.50709,0.23276,0.96324,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,2189.07,0.60698,0.39744,1.01126,0.99322,0.99182,0.99324,0.86848,0.5067,0.23255,0.96332,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,2281.31,0.60399,0.39519,1.00412,0.99331,0.99362,0.99339,0.86869,0.50685,0.23229,0.96343,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,2369.34,0.60139,0.39273,1.0046,0.9923,0.99312,0.99337,0.86838,0.50743,0.23128,0.96193,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,2457.94,0.59901,0.38978,1.00206,0.99168,0.99351,0.99317,0.86833,0.50804,0.22989,0.96193,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,2545.01,0.6,0.3921,1.00174,0.9919,0.99188,0.99307,0.86686,0.50877,0.23228,0.96534,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,2636.32,0.60084,0.39153,1.00386,0.99276,0.99404,0.99345,0.86973,0.50514,0.22841,0.96175,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,2723.02,0.60223,0.39108,1.00359,0.99346,0.9934,0.99378,0.86946,0.50704,0.22857,0.96267,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,2811.56,0.59731,0.3884,1.00225,0.99246,0.994,0.99325,0.86721,0.50897,0.2302,0.96273,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,2898.88,0.59775,0.3881,1.00414,0.99226,0.99397,0.99293,0.86773,0.50837,0.22897,0.96386,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,2983.96,0.60037,0.38944,1.00516,0.99263,0.99395,0.99317,0.8681,0.50882,0.22834,0.96423,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,3073.41,0.59744,0.38748,1.00089,0.99291,0.99294,0.99373,0.86935,0.50768,0.22811,0.96119,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,3161.15,0.59243,0.38368,0.99908,0.99183,0.99476,0.99389,0.87068,0.50746,0.22674,0.96411,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,3251.3,0.59625,0.38552,1.00192,0.99266,0.9943,0.99347,0.86937,0.50716,0.22622,0.96224,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,3345.79,0.59205,0.38124,0.99819,0.99343,0.99488,0.99362,0.86943,0.50741,0.22589,0.96244,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,3433.27,0.5954,0.38329,1.00434,0.99227,0.99415,0.99288,0.86865,0.50726,0.22652,0.96556,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,3521.18,0.59145,0.38237,0.99901,0.99314,0.99412,0.99328,0.86974,0.50712,0.22559,0.96561,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,3610.89,0.59319,0.38319,1.00168,0.9927,0.99463,0.99349,0.86923,0.50726,0.22468,0.96593,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,3697.87,0.59096,0.37934,0.99956,0.99317,0.99459,0.99344,0.86881,0.50527,0.22367,0.96482,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,3785.59,0.59103,0.37992,0.99963,0.99287,0.99396,0.99379,0.86959,0.50463,0.22316,0.96157,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,3877.65,0.59399,0.37753,0.99892,0.99229,0.99397,0.99298,0.86973,0.50537,0.22401,0.96026,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,3966.15,0.58841,0.37618,0.99608,0.9926,0.99396,0.99276,0.86881,0.50711,0.22418,0.96221,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,4054.78,0.5898,0.37533,0.99913,0.99217,0.99416,0.99332,0.86717,0.50738,0.22484,0.96241,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,4141.81,0.58782,0.37382,0.99967,0.99309,0.99488,0.99327,0.86928,0.50754,0.22261,0.96186,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,4235.39,0.58817,0.37746,0.99505,0.99353,0.99412,0.99363,0.86843,0.509,0.22319,0.96403,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,4323.12,0.58932,0.37458,0.99837,0.99348,0.99473,0.99371,0.86842,0.51027,0.22367,0.96611,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,4410.1,0.58642,0.37266,0.9967,0.99338,0.99438,0.99296,0.86731,0.50912,0.22175,0.96455,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,4493.88,0.58288,0.3706,0.9948,0.99235,0.99379,0.99266,0.86782,0.509,0.22213,0.96531,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,4587.11,0.58463,0.37106,0.99376,0.99237,0.99351,0.99282,0.86914,0.50624,0.22084,0.96258,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,4680.59,0.58646,0.37147,0.99542,0.99247,0.99404,0.99293,0.86979,0.50398,0.22112,0.96316,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,4769.28,0.58246,0.37009,0.99487,0.99281,0.99452,0.99369,0.87012,0.50579,0.22112,0.96367,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,4855.11,0.58478,0.36979,0.99439,0.99273,0.99384,0.99333,0.87022,0.50563,0.22103,0.96367,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,4946.52,0.58206,0.36952,0.99658,0.99336,0.99443,0.9935,0.86926,0.50676,0.22049,0.96541,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,5034.91,0.58175,0.36739,0.99478,0.99399,0.99459,0.99352,0.86934,0.50728,0.21951,0.96548,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,5121.62,0.58096,0.36963,0.99392,0.99361,0.99486,0.9932,0.86919,0.50708,0.21923,0.96562,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,5211.83,0.58294,0.36937,0.99793,0.99319,0.99467,0.9932,0.86876,0.50766,0.21959,0.96607,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,5304.9,0.58442,0.36934,0.99621,0.99286,0.99459,0.99297,0.86845,0.50715,0.21903,0.96685,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,5394.26,0.57974,0.36767,0.99321,0.99343,0.99503,0.99347,0.86865,0.50744,0.21858,0.96532,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,5481.38,0.58199,0.37062,0.99521,0.99348,0.99467,0.99354,0.8689,0.50665,0.21786,0.96346,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,5569.82,0.58101,0.36952,0.9942,0.99351,0.99397,0.99326,0.8698,0.50538,0.21834,0.96351,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,5662.11,0.57892,0.36622,0.99275,0.99346,0.99424,0.99331,0.86952,0.50494,0.21835,0.9641,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,5749.94,0.57608,0.36426,0.99463,0.9931,0.99474,0.99363,0.86928,0.50697,0.21822,0.96671,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,5838.41,0.57784,0.36401,0.99208,0.99376,0.99503,0.99385,0.86969,0.50645,0.21721,0.96489,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
