epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,796.561,0.61128,0.39991,1.01227,0.98542,0.98934,0.99258,0.86558,0.51177,0.25464,0.96703,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1095.99,0.60499,0.39601,1.00753,0.98964,0.99028,0.99279,0.86424,0.51266,0.24938,0.96733,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1356.99,0.60899,0.39435,1.00552,0.98629,0.98934,0.99274,0.86399,0.51202,0.25274,0.96162,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1675.15,0.60522,0.39146,1.00468,0.98631,0.98943,0.9928,0.86488,0.51213,0.25259,0.96117,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,1991.05,0.60243,0.38769,1.0007,0.9863,0.98831,0.99292,0.86609,0.50904,0.25503,0.96084,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2270.13,0.59918,0.38278,1.00118,0.98675,0.99063,0.9928,0.86659,0.50928,0.24683,0.96184,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,2545.94,0.59868,0.38188,1.00093,0.98186,0.98536,0.99227,0.86415,0.51133,0.25986,0.96642,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2774.26,0.59379,0.37567,0.99849,0.98847,0.99183,0.99322,0.86792,0.5084,0.23873,0.95817,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3024.99,0.59009,0.37517,0.99827,0.98654,0.98973,0.99178,0.86505,0.51129,0.24611,0.96324,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3275.87,0.58713,0.37524,0.99319,0.99056,0.99128,0.99282,0.86803,0.50585,0.24033,0.95692,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3572.14,0.59104,0.37347,0.99775,0.98873,0.99134,0.99315,0.86622,0.51291,0.24227,0.96508,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3843.48,0.58667,0.36992,0.99293,0.98804,0.98889,0.99272,0.86377,0.51237,0.24276,0.95955,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4069.9,0.58485,0.3669,0.99323,0.98595,0.98823,0.99253,0.86362,0.51428,0.24784,0.96333,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4299.31,0.58437,0.36555,0.99195,0.99,0.98955,0.99257,0.8642,0.51158,0.24061,0.95769,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4511.86,0.58135,0.3625,0.99107,0.98791,0.99036,0.99318,0.86667,0.50962,0.23966,0.96201,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4741.46,0.5758,0.35935,0.98804,0.9888,0.99188,0.99261,0.86739,0.50518,0.23465,0.95832,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4966.17,0.57582,0.35689,0.98922,0.98881,0.99231,0.99259,0.86583,0.51174,0.23822,0.96967,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,5189.64,0.57213,0.357,0.98599,0.9897,0.99028,0.99284,0.86727,0.50765,0.23463,0.96095,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,5393.61,0.57315,0.35511,0.98668,0.98887,0.9937,0.99391,0.86723,0.51004,0.23526,0.96013,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5598.91,0.56979,0.35185,0.98702,0.99124,0.99399,0.99342,0.86607,0.5158,0.23193,0.97119,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
